Address,Settlement
Paks Váci Mihály utca,Paks
16. kerület Orsika tér,16. kerület
Szolnok Puskás Tivadar körút,Szolnok
Baja Kodály Zoltán utca 19.,Baja
8. kerület nincs megadva,8. kerület
Kiskunfélegyháza Jókai utca,Kiskunfélegyháza
Kiskunfélegyháza Klapka utca,Kiskunfélegyháza
Zalakaros Hegyalja utca 14.,Zalakaros
Salgótarján Rákóczi út,Salgótarján
Pécs Ajtósi Dürer utca 10.,Pécs
Miskolc Mátyás király utca 24.,Miskolc
Tatabánya Piac tér 2.,Tatabánya
Kiskunfélegyháza Halesz,Kiskunfélegyháza
Kistarcsa Kápolna utca,Kistarcsa
3. kerület Kerék utca 32.,3. kerület
11. kerület Kelenhegyi út 81.,11. kerület
Mezőtúr Csokonai utca,Mezőtúr
Baja Parti utca,Baja
Tékes Dózsa utca 2.,Tékes
Nyíregyháza Sarló utca,Nyíregyháza
Hajdúsámson Méhes utca,Hajdúsámson
Székesfehérvár Sóstó,Székesfehérvár
Tiszaújváros Tisza út,Tiszaújváros
Hódmezővásárhely Oldalkosár utca,Hódmezővásárhely
10. kerület Felsőrákos,10. kerület
Kalocsa Kossuth Lajos utca,Kalocsa
Nyíregyháza Holló utca,Nyíregyháza
Bük Bükfürdő,Bük
20. kerület Fás utca,20. kerület
1. kerület Naphegy tér,1. kerület
Erdősmárok Szőlős utca 3.,Erdősmárok
18. kerület Jósika Miklós utca,18. kerület
Debrecen Görgey utca,Debrecen
Kőszeg Kórház utca,Kőszeg
22. kerület Budafok – Leányka utcai lakótelep,22. kerület
1. kerület Országház utca,1. kerület
Debrecen Csap utca,Debrecen
Szombathely Pázmány Péter körút,Szombathely
11. kerület Örkény István utca,11. kerület
Miskolc Gagarin utca,Miskolc
10. kerület Csilla utca,10. kerület
Celldömölk Sági utca 14.,Celldömölk
17. kerület Összefogás utca,17. kerület
Pécs Jurisics Miklós utca,Pécs
Pálfa Táncsics Mihály utca 50.,Pálfa
21. kerület Csepel-Belváros,21. kerület
Dunaalmás Kossuth liget út,Dunaalmás
Galgahévíz Pest megye,Galgahévíz
Szeged Tápai utca,Szeged
Balatonfüred Siske utca,Balatonfüred
Szeged Szekeres utca,Szeged
Zsámbék Bicskei utca 33.,Zsámbék
Nagykőrös Ifjúság útja 1/a,Nagykőrös
Nyíregyháza Moszkva utca,Nyíregyháza
12. kerület Tarpatak utca,12. kerület
Nyíregyháza Kölcsey Ferenc utca,Nyíregyháza
11. kerület Menyecske utca 7.,11. kerület
14. kerület Nagyzugló – Egressy téri lakótelep,14. kerület
Nagykanizsa Zemplén Győző utca,Nagykanizsa
Törökszentmiklós Fáy András lakótelep,Törökszentmiklós
Debrecen Bethlen utca,Debrecen
Pécs Hajnóczy út 23/b 2/1,Pécs
10. kerület Dér utca,10. kerület
Mohács Baranya megye,Mohács
12. kerület Sólyom utca,12. kerület
Pécs Tettye utca,Pécs
Gyömrő Bimbó utca,Gyömrő
Dunakeszi Faludi János utca,Dunakeszi
Tatabánya Dózsakert utca,Tatabánya
Kazincbarcika Nagy Lajos utca,Kazincbarcika
Törökszentmiklós Táncsics lakótelep,Törökszentmiklós
Gyöngyös Verseny utca,Gyöngyös
Üllő Zöld Liget Lakópark,Üllő
21. kerület Csepel – Ady Endre úti lakótelep,21. kerület
Eger Faiskola utca,Eger
Ajka Liliom utca 10/A,Ajka
Eger Hatvanas ezred utca,Eger
Balassagyarmat Madách liget,Balassagyarmat
Pécs Mécsvirág utca 1.,Pécs
2. kerület Feketerigó utca,2. kerület
9. kerület Aranyvirág sétány,9. kerület
2. kerület Csejtei utca,2. kerület
Paks Gesztenyés utca,Paks
Balassagyarmat Rákóczi fejedelem út,Balassagyarmat
Szentlőrinc Ifjúság útja,Szentlőrinc
Szolnok Wágner Gusztáv utca,Szolnok
Szolnok Tompa Mihály utca 7.,Szolnok
Törökbálint Kazinczy Ferenc utca,Törökbálint
12. kerület Monda utca,12. kerület
Székesfehérvár Szedreskerti lakónegyed 41.,Székesfehérvár
Gyömrő Apafi utca,Gyömrő
Bélapátfalva Heves megye,Bélapátfalva
21. kerület Nyúl utca,21. kerület
21. kerület Zrínyi utca,21. kerület
21. kerület Csepel-Ófalu,21. kerület
20. kerület Köves út,20. kerület
Szeged Sziksós,Szeged
21. kerület Károli Gáspár utca,21. kerület
Nagykáta Zárda utca,Nagykáta
Nyírtelek Rákóczi Ferenc utca 74.,Nyírtelek
Gyál Jálicsholdas,Gyál
Gödöllő Erzsébet királyné körút,Gödöllő
19. kerület Zalaegerszeg utca 160.,19. kerület
22. kerület Hős utca,22. kerület
Budaörs Víg utca,Budaörs
Pápa Vajda Péter lakótelep 2/A 4/1,Pápa
Komló Jó szerencsét utca,Komló
11. kerület Kondorosi út 12.,11. kerület
Hunya József Attila utca 35.,Hunya
2. kerület Lupény utca,2. kerület
Tata Keszthelyi utca,Tata
Debrecen Hortobágy utca,Debrecen
Vác Kisvác,Vác
Miskolc Katowice utca 9.,Miskolc
Miskolc Jókai Mór utca,Miskolc
